mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,nevents_train,window_time_stride,window_patt_stride,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_mse,val_r2
DF,CNN,GunPoint,0.25,60,128,True,10,False,1000,1,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/_wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=45-step=40434.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/_wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1145068034529686,0.9631789326667786
DF,CNN,GunPoint,0.25,60,128,True,10,False,1000,3,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/_wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=57-step=50982.ckpt,118959,118959,training/pretrain/GunPoint_CNN/logs/_wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.082424521446228,0.9821990132331848
DF,CNN,GunPoint,0.25,60,128,True,10,True,1000,3,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/_wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=59-step=52740.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/_wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0827811062335968,0.9821873307228088
