mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,cnn,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=102-step=42539.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7123941779136658,0.7123941779136658,0.1640721410512924,0.6273072957992554,0.6273072957992554,0.1320910602807998,32,32,2,4,200,256,256,50.10027573257685,22953.372931757945,23003.47320749052
df,cnn,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,1,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=118-step=49147.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7007730603218079,0.7007730603218079,0.1649104207754135,0.6141279339790344,0.6141279339790344,0.1284307390451431,32,32,2,4,200,256,256,71.94404735974967,28807.94501350633,28879.889060866088
df,cnn,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,1,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=116-step=48321.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7219536900520325,0.7219536900520325,0.1686760336160659,0.6639793515205383,0.6639793515205383,0.1348493248224258,32,32,2,4,200,256,256,70.92079834640026,28339.182087680325,28410.102886026725
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=104-step=43365.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7805710434913635,0.7805710434913635,0.1913289576768875,0.6251706480979919,0.6251706480979919,0.14398014545440674,32,32,2,4,200,256,256,36.49778247252107,38050.303008280694,38086.800790753216
