mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
TS,CNN,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=109-step=31680.ckpt,115235,115235,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.4528286457061767,0.4528286457061767,0.2837775647640228,0.445152223110199,0.445152223110199,0.2276107668876648,32,32,2,4,200,384,384,23.17873836867512,7711.069402663037,7734.248141031712
TS,CNN,CBF,0.25,120,128,False,30,1,1,0.0001,0,False,3,120,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=41-step=12096.ckpt,197155,197155,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.4717426598072052,0.4717426598072052,0.3311038613319397,0.467245489358902,0.467245489358902,0.2617219686508178,32,32,2,4,200,384,384,20.83923691138625,7886.773876456544,7907.61311336793
TS,CNN,CBF,0.25,120,128,False,50,1,1,0.0001,0,False,3,120,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=114-step=33120-v1.ckpt,279075,279075,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.580610990524292,0.580610990524292,0.3800855576992035,0.5667541027069092,0.5667541027069092,0.2954107224941253,32,32,2,4,200,384,384,21.001900942996144,8531.131860567257,8552.133761510253
TS,CNN,CBF,0.25,120,128,False,70,1,1,0.0001,0,False,3,120,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=118-step=34272-v1.ckpt,360995,360995,training/finetune/CBF_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6857375502586365,0.6857375502586365,0.4348989725112915,0.6832621693611145,0.6832621693611145,0.35227787494659424,32,32,2,4,200,384,384,23.046249251812696,18028.70167105086,18051.747920302674
