mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
TS,CNN,GunPoint,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=20-step=4725.ckpt,115170,115170,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5485047698020935,0.5485047698020935,0.2638796865940094,0.5549368262290955,0.5549368262290955,0.2537704706192016,32,32,2,4,200,256,256,20.45263541303575,5513.2157939802855,5533.668429393321
TS,CNN,GunPoint,0.25,120,128,False,30,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=105-step=23850.ckpt,197090,197090,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5457673072814941,0.5457673072814941,0.2426772564649582,0.5931796431541443,0.5931796431541443,0.2576820254325866,32,32,2,4,200,256,256,16.985321257263422,5896.791907409206,5913.7772286664695
TS,CNN,GunPoint,0.25,120,128,False,50,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=36-step=8325.ckpt,279010,279010,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5358297824859619,0.5358297824859619,0.2665266990661621,0.6510735154151917,0.6510735154151917,0.2421425879001617,32,32,2,4,200,256,256,28.10401755012572,6258.504926631227,6286.608944181353
TS,CNN,GunPoint,0.25,120,128,False,70,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=116-step=26325.ckpt,360930,360930,training/finetune/GunPoint_TS_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5398663878440857,0.5398663878440857,0.28052401542663574,0.6356042623519897,0.6356042623519897,0.23969557881355286,32,32,2,4,200,256,256,12.921529537066817,10846.903431126848,10859.824960663915
