mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,cnn,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=49147.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7344815731048584,0.7344815731048584,0.1585910022258758,0.6529862284660339,0.6529862284660339,0.135486364364624,32,32,2,4,200,256,256,31.68040461651981,11005.640673043206,11037.321077659726
df,cnn,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=119-step=49560.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7652144432067871,0.7652144432067871,0.226439356803894,0.6304866075515747,0.6304866075515747,0.1733525991439819,32,32,2,4,200,256,256,35.995225969236344,10335.946317899972,10371.941543869209
df,cnn,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=46669.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7706828713417053,0.7706828713417053,0.1674597114324569,0.7006133198738098,0.7006133198738098,0.141855850815773,32,32,2,4,200,256,256,44.50078764185309,33367.75169040635,33412.252478048205
df,cnn,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=80-step=33453.ckpt,467484,467484,training/finetune/Trace_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.802523136138916,0.802523136138916,0.23398424685001373,0.6594046354293823,0.6594046354293823,0.14755086600780487,32,32,2,4,200,256,256,58.13325247913599,55024.739593537524,55082.87284601666
