mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
gf,cnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,4,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=68-step=19872.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.4109890162944793,0.4109890162944793,0.3056672513484955,0.3284614384174347,0.3284614384174347,0.2303528487682342,32,32,2,4,200,384,384,5.254877377301455,6092.417185548693,6097.672062925994
gf,cnn,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,4,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=26-step=7776.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5529316067695618,0.5529316067695618,0.3093359470367431,0.5351402163505554,0.5351402163505554,0.2994386553764343,32,32,2,4,200,384,384,6.187671791762114,6890.568853404373,6896.756525196135
gf,cnn,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,4,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=19-step=5760.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6376374959945679,0.6376374959945679,0.3460460901260376,0.6329014897346497,0.6329014897346497,0.3300847709178924,32,32,2,4,200,384,384,7.012774234637618,6676.759528145194,6683.772302379832
gf,cnn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=46-step=13536.ckpt,237239,237239,training/finetune/CBF_gf_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6616951823234558,0.6616951823234558,0.3506232798099518,0.6179639101028442,0.6179639101028442,0.35005196928977966,32,32,2,4,200,384,384,10.679177252575755,18766.067817319185,18776.74699457176
