mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
df,res,Trace,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=6-step=2891.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6498122811317444,0.6498122811317444,0.1630383878946304,0.6309781670570374,0.6309781670570374,0.1568168848752975,32,32,2,4,200,256,256,52.5298387221992,89532.89003630914,89585.41987503134
df,res,Trace,0.25,120,128,False,10,5,1,0.0001,0,False,4,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=88-step=36757.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6425200700759888,0.6425200700759888,0.1576279401779174,0.6065260767936707,0.6065260767936707,0.1407127976417541,32,32,2,4,200,256,256,41.74525566026568,247127.60686671548,247169.3521223757
df,res,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,4,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=67-step=28084.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6114110350608826,0.6114110350608826,0.1434817314147949,0.5882449150085449,0.5882449150085449,0.1459551155567169,32,32,2,4,200,256,256,45.26015427708626,255834.09079135585,255879.3509456329
df,res,Trace,0.25,120,128,False,10,3,1,0.0001,0,False,4,120,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=1-step=826.ckpt,141738,141738,training/finetune/Trace_df_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5905525088310242,0.5905525088310242,0.16918671131134033,0.5994287729263306,0.5994287729263306,0.15804049372673035,32,32,2,4,200,256,256,54.91402084380388,276392.45023502037,276447.3642558642
