dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_nquant,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Plane,ResNet_TS,False,0,0,128,5,0.31787109375,0.31787109375,0.5738318562507629,0.3823138177394867,0.3823138177394867,0.7010393142700195,training/exp/EXP_quant_f0.base_2023-03-09_18-28/logs/target/checkpoints/epoch=108-step=3379.ckpt,training/exp/EXP_quant_f0.base_2023-03-09_18-28/logs/target/metrics.csv,120,6177,0,6033,,,,,,,
Plane,ResNet_TS,True,0,0,128,5,0.28466796875,0.28466796875,0.5751733183860779,0.38031914830207825,0.38031914830207825,0.7082368731498718,training/exp/EXP_quant_f0.0_2023-03-09_18-35/logs/target/checkpoints/epoch=119-step=3720.ckpt,training/exp/EXP_quant_f0.0_2023-03-09_18-35/logs/target/metrics.csv,120,6177,18273,6033,2.0,0.98046875,0.98046875,0.9929056167602539,training/exp/EXP_quant_f0.0_2023-03-09_18-35/logs/pretrain/checkpoints/epoch=52-step=4982.ckpt,training/exp/EXP_quant_f0.0_2023-03-09_18-35/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.31787109375,0.31787109375,0.5577516555786133,0.39710772037506104,0.39710772037506104,0.6933079957962036,training/exp/EXP_quant_f0.1_2023-03-09_18-50/logs/target/checkpoints/epoch=102-step=3193.ckpt,training/exp/EXP_quant_f0.1_2023-03-09_18-50/logs/target/metrics.csv,120,6177,18273,6033,3.0,0.9645182490348816,0.9645182490348816,0.9916442036628723,training/exp/EXP_quant_f0.1_2023-03-09_18-50/logs/pretrain/checkpoints/epoch=43-step=4136.ckpt,training/exp/EXP_quant_f0.1_2023-03-09_18-50/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.31494140625,0.31494140625,0.6050329208374023,0.39095744490623474,0.39095744490623474,0.7333928942680359,training/exp/EXP_quant_f0.2_2023-03-09_19-06/logs/target/checkpoints/epoch=71-step=2232.ckpt,training/exp/EXP_quant_f0.2_2023-03-09_19-06/logs/target/metrics.csv,120,6177,18273,6033,4.0,0.9469401240348816,0.9469401240348816,0.9869827628135681,training/exp/EXP_quant_f0.2_2023-03-09_19-06/logs/pretrain/checkpoints/epoch=48-step=4606.ckpt,training/exp/EXP_quant_f0.2_2023-03-09_19-06/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.28369140625,0.28369140625,0.5839983820915222,0.3683510720729828,0.3683510720729828,0.7121376991271973,training/exp/EXP_quant_f0.3_2023-03-09_19-23/logs/target/checkpoints/epoch=89-step=2790.ckpt,training/exp/EXP_quant_f0.3_2023-03-09_19-23/logs/target/metrics.csv,120,6177,18273,6033,5.0,0.9285481572151184,0.9285481572151184,0.9843150973320007,training/exp/EXP_quant_f0.3_2023-03-09_19-23/logs/pretrain/checkpoints/epoch=58-step=5546.ckpt,training/exp/EXP_quant_f0.3_2023-03-09_19-23/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.3037109375,0.3037109375,0.5793725252151489,0.3789893686771393,0.3789893686771393,0.7180838584899902,training/exp/EXP_quant_f0.4_2023-03-09_19-39/logs/target/checkpoints/epoch=108-step=3379.ckpt,training/exp/EXP_quant_f0.4_2023-03-09_19-39/logs/target/metrics.csv,120,6177,18273,6033,6.0,0.9166666865348816,0.9166666865348816,0.982905387878418,training/exp/EXP_quant_f0.4_2023-03-09_19-39/logs/pretrain/checkpoints/epoch=28-step=2726.ckpt,training/exp/EXP_quant_f0.4_2023-03-09_19-39/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.2578125,0.2578125,0.5575704574584961,0.32347074151039124,0.32347074151039124,0.6793837547302246,training/exp/EXP_quant_f0.5_2023-03-09_19-56/logs/target/checkpoints/epoch=69-step=2170.ckpt,training/exp/EXP_quant_f0.5_2023-03-09_19-56/logs/target/metrics.csv,120,6177,18273,6033,7.0,0.8932291865348816,0.8932291865348816,0.9775082468986511,training/exp/EXP_quant_f0.5_2023-03-09_19-56/logs/pretrain/checkpoints/epoch=40-step=3854.ckpt,training/exp/EXP_quant_f0.5_2023-03-09_19-56/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.314453125,0.314453125,0.5790790319442749,0.3979388177394867,0.3979388177394867,0.7122817635536194,training/exp/EXP_quant_f0.6_2023-03-09_20-14/logs/target/checkpoints/epoch=105-step=3286.ckpt,training/exp/EXP_quant_f0.6_2023-03-09_20-14/logs/target/metrics.csv,120,6177,18273,6033,8.0,0.8805338740348816,0.8805338740348816,0.9728713035583496,training/exp/EXP_quant_f0.6_2023-03-09_20-14/logs/pretrain/checkpoints/epoch=53-step=5076.ckpt,training/exp/EXP_quant_f0.6_2023-03-09_20-14/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,0,0,128,5,0.2763671875,0.2763671875,0.5594810843467712,0.3645279109477997,0.3645279109477997,0.6839666962623596,training/exp/EXP_quant_f0.7_2023-03-09_20-31/logs/target/checkpoints/epoch=93-step=2914.ckpt,training/exp/EXP_quant_f0.7_2023-03-09_20-31/logs/target/metrics.csv,120,6177,18273,6033,9.0,0.86474609375,0.86474609375,0.969736635684967,training/exp/EXP_quant_f0.7_2023-03-09_20-31/logs/pretrain/checkpoints/epoch=51-step=4888.ckpt,training/exp/EXP_quant_f0.7_2023-03-09_20-31/logs/pretrain/metrics.csv,60
