dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_nquant,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
CBF,ResNet_TS,False,3,0,128,5,0.47933468222618103,0.47933468222618103,0.6504960060119629,0.46064189076423645,0.46064189076423645,0.6457123756408691,training/exp/EXP_quant_f3.base_2023-03-11_02-40/logs/target/checkpoints/epoch=1-step=248.ckpt,training/exp/EXP_quant_f3.base_2023-03-11_02-40/logs/target/metrics.csv,120,23921,0,23793,,,,,,,
CBF,ResNet_TS,True,3,0,128,5,0.42905744910240173,0.42905744910240173,0.593925416469574,0.4046030342578888,0.4046030342578888,0.5941870808601379,training/exp/EXP_quant_f3.0_2023-03-11_03-09/logs/target/checkpoints/epoch=1-step=248.ckpt,training/exp/EXP_quant_f3.0_2023-03-11_03-09/logs/target/metrics.csv,120,23921,71537,23793,2.0,0.890036940574646,0.890036940574646,0.9356923699378967,training/exp/EXP_quant_f3.0_2023-03-11_03-09/logs/pretrain/checkpoints/epoch=0-step=372.ckpt,training/exp/EXP_quant_f3.0_2023-03-11_03-09/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.41078630089759827,0.41078630089759827,0.6727593541145325,0.4182009994983673,0.4182009994983673,0.6762673258781433,training/exp/EXP_quant_f3.1_2023-03-11_04-28/logs/target/checkpoints/epoch=0-step=124.ckpt,training/exp/EXP_quant_f3.1_2023-03-11_04-28/logs/target/metrics.csv,120,23921,71537,23793,3.0,0.6832576990127563,0.6832576990127563,0.8480930328369141,training/exp/EXP_quant_f3.1_2023-03-11_04-28/logs/pretrain/checkpoints/epoch=0-step=372.ckpt,training/exp/EXP_quant_f3.1_2023-03-11_04-28/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.4300655126571655,0.4300655126571655,0.6586052775382996,0.3974662125110626,0.3974662125110626,0.6475842595100403,training/exp/EXP_quant_f3.2_2023-03-11_05-47/logs/target/checkpoints/epoch=1-step=248.ckpt,training/exp/EXP_quant_f3.2_2023-03-11_05-47/logs/target/metrics.csv,120,23921,71537,23793,4.0,0.5925739407539368,0.5925739407539368,0.8449710607528687,training/exp/EXP_quant_f3.2_2023-03-11_05-47/logs/pretrain/checkpoints/epoch=0-step=372.ckpt,training/exp/EXP_quant_f3.2_2023-03-11_05-47/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.42691531777381897,0.42691531777381897,0.6118656992912292,0.42833614349365234,0.42833614349365234,0.6163520216941833,training/exp/EXP_quant_f3.3_2023-03-11_07-06/logs/target/checkpoints/epoch=0-step=124.ckpt,training/exp/EXP_quant_f3.3_2023-03-11_07-06/logs/target/metrics.csv,120,23921,71537,23793,5.0,0.5186911821365356,0.5186911821365356,0.8299468159675598,training/exp/EXP_quant_f3.3_2023-03-11_07-06/logs/pretrain/checkpoints/epoch=1-step=744.ckpt,training/exp/EXP_quant_f3.3_2023-03-11_07-06/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.41280242800712585,0.41280242800712585,0.6354175806045532,0.3933699429035187,0.3933699429035187,0.629953920841217,training/exp/EXP_quant_f3.4_2023-03-11_08-25/logs/target/checkpoints/epoch=0-step=124.ckpt,training/exp/EXP_quant_f3.4_2023-03-11_08-25/logs/target/metrics.csv,120,23921,71537,23793,6.0,0.4476226568222046,0.4476226568222046,0.8179754614830017,training/exp/EXP_quant_f3.4_2023-03-11_08-25/logs/pretrain/checkpoints/epoch=0-step=372.ckpt,training/exp/EXP_quant_f3.4_2023-03-11_08-25/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.4555191397666931,0.4555191397666931,0.6583858132362366,0.42407095432281494,0.42407095432281494,0.6529954075813293,training/exp/EXP_quant_f3.5_2023-03-11_09-44/logs/target/checkpoints/epoch=0-step=124.ckpt,training/exp/EXP_quant_f3.5_2023-03-11_09-44/logs/target/metrics.csv,120,23921,71537,23793,7.0,0.3986055254936218,0.3986055254936218,0.8091022372245789,training/exp/EXP_quant_f3.5_2023-03-11_09-44/logs/pretrain/checkpoints/epoch=1-step=744.ckpt,training/exp/EXP_quant_f3.5_2023-03-11_09-44/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.46660786867141724,0.46660786867141724,0.6415045261383057,0.4560810923576355,0.4560810923576355,0.6412613987922668,training/exp/EXP_quant_f3.6_2023-03-11_11-03/logs/target/checkpoints/epoch=0-step=124.ckpt,training/exp/EXP_quant_f3.6_2023-03-11_11-03/logs/target/metrics.csv,120,23921,71537,23793,8.0,0.3646673262119293,0.3646673262119293,0.8047477602958679,training/exp/EXP_quant_f3.6_2023-03-11_11-03/logs/pretrain/checkpoints/epoch=3-step=1488.ckpt,training/exp/EXP_quant_f3.6_2023-03-11_11-03/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,3,0,128,5,0.3926411271095276,0.3926411271095276,0.5813886523246765,0.3763091266155243,0.3763091266155243,0.5629380345344543,training/exp/EXP_quant_f3.7_2023-03-11_12-22/logs/target/checkpoints/epoch=41-step=5208.ckpt,training/exp/EXP_quant_f3.7_2023-03-11_12-22/logs/target/metrics.csv,120,23921,71537,23793,9.0,0.3345514237880707,0.3345514237880707,0.801501989364624,training/exp/EXP_quant_f3.7_2023-03-11_12-22/logs/pretrain/checkpoints/epoch=2-step=1116.ckpt,training/exp/EXP_quant_f3.7_2023-03-11_12-22/logs/pretrain/metrics.csv,60
